Ldm, 05:47:28,866 	 INFO  	 METRIC_CAM_RECV 22 3475045 		
Ldm, 05:47:29,290 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:29,290 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:29,290 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:29,291 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:29,895 	 DEBUG 	 CAM received 		
Ldm, 05:47:29,895 	 INFO  	 METRIC_CAM_RECV 23 3476073 		
Ldm, 05:47:29,895 	 DEBUG 	 camInfo received 		
Ldm, 05:47:30,292 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:30,292 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:30,293 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:30,293 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:30,927 	 DEBUG 	 CAM received 		
Ldm, 05:47:30,927 	 INFO  	 METRIC_CAM_RECV 24 3477105 		
Ldm, 05:47:30,927 	 DEBUG 	 camInfo received 		
Ldm, 05:47:31,286 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:31,287 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:31,287 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:31,287 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:31,949 	 DEBUG 	 camInfo received 		
Ldm, 05:47:31,950 	 DEBUG 	 CAM received 		
Ldm, 05:47:31,950 	 INFO  	 METRIC_CAM_RECV 25 3478128 		
Ldm, 05:47:32,290 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:32,290 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:32,292 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:32,294 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:32,976 	 DEBUG 	 CAM received 		
Ldm, 05:47:32,976 	 INFO  	 METRIC_CAM_RECV 26 3479155 		
Ldm, 05:47:32,976 	 DEBUG 	 camInfo received 		
Ldm, 05:47:33,297 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:33,298 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:33,299 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:33,299 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:34,000 	 DEBUG 	 camInfo received 		
Ldm, 05:47:34,000 	 DEBUG 	 CAM received 		
Ldm, 05:47:34,000 	 INFO  	 METRIC_CAM_RECV 27 3480179 		
Ldm, 05:47:34,286 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:34,286 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:34,286 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:34,286 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:35,016 	 DEBUG 	 CAM received 		
Ldm, 05:47:35,016 	 INFO  	 METRIC_CAM_RECV 28 3481194 		
Ldm, 05:47:35,016 	 DEBUG 	 camInfo received 		
Ldm, 05:47:35,288 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:35,289 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:35,289 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:35,289 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:36,042 	 DEBUG 	 CAM received 		
Ldm, 05:47:36,042 	 INFO  	 METRIC_CAM_RECV 29 3482220 		
Ldm, 05:47:36,042 	 DEBUG 	 camInfo received 		
Ldm, 05:47:36,285 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:36,285 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:36,286 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:36,286 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:37,065 	 DEBUG 	 camInfo received 		
Ldm, 05:47:37,066 	 DEBUG 	 CAM received 		
Ldm, 05:47:37,066 	 INFO  	 METRIC_CAM_RECV 30 3483244 		
Ldm, 05:47:37,283 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:37,283 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:37,283 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:37,284 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:38,091 	 DEBUG 	 camInfo received 		
Ldm, 05:47:38,091 	 DEBUG 	 CAM received 		
Ldm, 05:47:38,091 	 INFO  	 METRIC_CAM_RECV 31 3484269 		
Ldm, 05:47:38,284 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:38,286 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:38,286 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:38,286 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:39,136 	 DEBUG 	 CAM received 		
Ldm, 05:47:39,136 	 INFO  	 METRIC_CAM_RECV 32 3485315 		
Ldm, 05:47:39,136 	 DEBUG 	 camInfo received 		
Ldm, 05:47:39,289 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:39,290 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:39,290 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:39,290 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:40,172 	 DEBUG 	 camInfo received 		
Ldm, 05:47:40,172 	 DEBUG 	 CAM received 		
Ldm, 05:47:40,172 	 INFO  	 METRIC_CAM_RECV 33 3486350 		
Ldm, 05:47:40,286 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:40,286 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:40,286 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:40,286 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:41,202 	 DEBUG 	 camInfo received 		
Ldm, 05:47:41,202 	 DEBUG 	 CAM received 		
Ldm, 05:47:41,202 	 INFO  	 METRIC_CAM_RECV 34 3487381 		
Ldm, 05:47:41,287 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:41,287 	 DEBUG 	 dccInfo received 		
