Ldm, 06:18:12,549 	 INFO  	 METRIC_CAM_RECV 35 5318727 		
Ldm, 06:18:13,616 	 DEBUG 	 camInfo received 		
Ldm, 06:18:13,617 	 DEBUG 	 CAM received 		
Ldm, 06:18:13,617 	 INFO  	 METRIC_CAM_RECV 36 5319795 		
Ldm, 06:18:14,706 	 DEBUG 	 camInfo received 		
Ldm, 06:18:14,706 	 DEBUG 	 CAM received 		
Ldm, 06:18:14,706 	 INFO  	 METRIC_CAM_RECV 37 5320885 		
Ldm, 06:18:15,794 	 DEBUG 	 camInfo received 		
Ldm, 06:18:15,794 	 DEBUG 	 CAM received 		
Ldm, 06:18:15,794 	 INFO  	 METRIC_CAM_RECV 38 5321972 		
Ldm, 06:18:16,797 	 DEBUG 	 camInfo received 		
Ldm, 06:18:16,797 	 DEBUG 	 CAM received 		
Ldm, 06:18:16,797 	 INFO  	 METRIC_CAM_RECV 39 5322976 		
Ldm, 06:18:17,808 	 DEBUG 	 camInfo received 		
Ldm, 06:18:17,808 	 DEBUG 	 CAM received 		
Ldm, 06:18:17,808 	 INFO  	 METRIC_CAM_RECV 40 5323987 		
Ldm, 06:18:18,333 	 DEBUG 	 camInfo received 		
Ldm, 06:18:18,333 	 DEBUG 	 CAM received 		
Ldm, 06:18:18,333 	 INFO  	 METRIC_CAM_RECV 41 5324512 		
Ldm, 06:18:19,000 	 DEBUG 	 camInfo received 		
Ldm, 06:18:19,000 	 DEBUG 	 CAM received 		
Ldm, 06:18:19,000 	 INFO  	 METRIC_CAM_RECV 42 5325179 		
Ldm, 06:18:20,029 	 DEBUG 	 CAM received 		
Ldm, 06:18:20,029 	 DEBUG 	 camInfo received 		
Ldm, 06:18:20,029 	 INFO  	 METRIC_CAM_RECV 43 5326207 		
Ldm, 06:18:21,124 	 DEBUG 	 camInfo received 		
Ldm, 06:18:21,125 	 DEBUG 	 CAM received 		
Ldm, 06:18:21,125 	 INFO  	 METRIC_CAM_RECV 44 5327303 		
Ldm, 06:18:22,201 	 DEBUG 	 CAM received 		
Ldm, 06:18:22,201 	 DEBUG 	 camInfo received 		
Ldm, 06:18:22,201 	 INFO  	 METRIC_CAM_RECV 45 5328379 		
Ldm, 06:18:23,254 	 DEBUG 	 CAM received 		
Ldm, 06:18:23,254 	 DEBUG 	 camInfo received 		
Ldm, 06:18:23,254 	 INFO  	 METRIC_CAM_RECV 46 5329433 		
Ldm, 06:18:24,300 	 DEBUG 	 camInfo received 		
Ldm, 06:18:24,300 	 DEBUG 	 CAM received 		
Ldm, 06:18:24,300 	 INFO  	 METRIC_CAM_RECV 47 5330479 		
Ldm, 06:18:25,345 	 DEBUG 	 CAM received 		
Ldm, 06:18:25,345 	 INFO  	 METRIC_CAM_RECV 48 5331523 		
Ldm, 06:18:25,345 	 DEBUG 	 camInfo received 		
Ldm, 06:18:26,352 	 DEBUG 	 CAM received 		
Ldm, 06:18:26,352 	 INFO  	 METRIC_CAM_RECV 49 5332530 		
Ldm, 06:18:26,352 	 DEBUG 	 camInfo received 		
Ldm, 06:18:27,433 	 DEBUG 	 camInfo received 		
Ldm, 06:18:27,434 	 DEBUG 	 CAM received 		
Ldm, 06:18:27,434 	 INFO  	 METRIC_CAM_RECV 50 5333612 		
Ldm, 06:18:28,497 	 DEBUG 	 camInfo received 		
Ldm, 06:18:28,497 	 DEBUG 	 CAM received 		
Ldm, 06:18:28,497 	 INFO  	 METRIC_CAM_RECV 51 5334676 		
